size    pairing    result           total        search    clauses       conflicts 
22      B25-B49    SATISFIABLE      0.119s       0.00s     62788         73 
22      B25-B50    SATISFIABLE      0.130s       0.01s     62788         96 
22      B49-B50    SATISFIABLE      0.109s       0.00s     62788         45 
22      B25-C01    UNSATISFIABLE    0.091s       0.01s     62788         659 
22      B25-C14    UNSATISFIABLE    0.100s       0.01s     62788         909 
22      B25-C55    UNSATISFIABLE    0.077s       0.01s     62788         632 
22      B49-C01    UNSATISFIABLE    0.111s       0.01s     62788         665 
22      B49-C14    UNSATISFIABLE    0.095s       0.01s     62788         677 
22      B49-C55    UNSATISFIABLE    0.084s       0.01s     62788         633 
22      B50-C01    UNSATISFIABLE    0.126s       0.01s     62788         976 
22      B50-C14    UNSATISFIABLE    0.115s       0.01s     62788         998 
22      B50-C55    UNSATISFIABLE    0.087s       0.01s     62788         671 
22      C01-C14    SATISFIABLE      0.124s       0.01s     62788         150 
22      C01-C55    SATISFIABLE      0.106s       0.00s     62788         43 
22      C14-C55    SATISFIABLE      0.139s       0.00s     62788         209 
44      B14-B67    SATISFIABLE      0.405s       0.01s     321420        394 
44      B14-B72    SATISFIABLE      0.444s       0.01s     321420        314 
44      B67-B72    SATISFIABLE      0.455s       0.02s     321420        605 
44      B14-C39    UNSATISFIABLE    0.457s       0.02s     321420        535 
44      B14-C52    UNSATISFIABLE    0.432s       0.02s     321420        438 
44      B14-C83    UNSATISFIABLE    0.406s       0.02s     321420        409 
44      B67-C39    UNSATISFIABLE    0.392s       0.02s     321420        511 
44      B67-C52    UNSATISFIABLE    0.465s       0.03s     321420        492 
44      B67-C83    UNSATISFIABLE    0.398s       0.03s     321420        781 
44      B72-C39    UNSATISFIABLE    0.466s       0.02s     321420        405 
44      B72-C52    UNSATISFIABLE    0.428s       0.02s     321420        337 
44      B72-C83    UNSATISFIABLE    0.455s       0.01s     321420        423 
44      C39-C52    SATISFIABLE      0.397s       0.02s     321420        338 
44      C39-C83    SATISFIABLE      0.449s       0.02s     321420        60 
44      C52-C83    SATISFIABLE      0.406s       0.01s     321420        227 
88      B16-B44    SATISFIABLE      3.469s       0.08s     2349816       1170 
88      B16-B75    SATISFIABLE      3.520s       0.10s     2349816       1452 
88      B44-B75    SATISFIABLE      3.534s       0.12s     2349816       1312 
88      B16-C32    UNSATISFIABLE    3.423s       0.12s     2349816       3037 
88      B16-C47    UNSATISFIABLE    3.471s       0.13s     2349816       1745 
88      B16-C86    UNSATISFIABLE    3.478s       0.11s     2349816       2616 
88      B44-C32    UNSATISFIABLE    3.414s       0.12s     2349816       2938 
88      B44-C47    UNSATISFIABLE    3.598s       0.12s     2349816       2707 
88      B44-C86    UNSATISFIABLE    3.728s       0.13s     2349816       3513 
88      B75-C32    UNSATISFIABLE    3.569s       0.10s     2349816       1523 
88      B75-C47    UNSATISFIABLE    3.449s       0.09s     2349816       1786 
88      B75-C86    UNSATISFIABLE    3.523s       0.11s     2349816       1844 
88      C32-C47    SATISFIABLE      3.441s       0.08s     2349816       761 
88      C32-C86    SATISFIABLE      3.441s       0.07s     2349816       899 
88      C47-C86    SATISFIABLE      3.432s       0.10s     2349816       1629 
132     B55-B78    SATISFIABLE      13.777s      0.20s     8070900       2515 
132     B55-B97    SATISFIABLE      13.603s      0.29s     8070900       4142 
132     B78-B97    SATISFIABLE      13.891s      0.33s     8070900       3893 
132     B55-C39    UNSATISFIABLE    14.017s      0.37s     8070900       7612 
132     B55-C68    UNSATISFIABLE    13.743s      0.36s     8070900       6762 
132     B55-C69    UNSATISFIABLE    13.657s      0.28s     8070900       5622 
132     B78-C39    UNSATISFIABLE    13.602s      0.32s     8070900       6251 
132     B78-C68    UNSATISFIABLE    13.755s      0.34s     8070900       7881 
132     B78-C69    UNSATISFIABLE    13.921s      0.39s     8070900       8064 
132     B97-C39    UNSATISFIABLE    13.675s      0.39s     8070900       6903 
132     B97-C68    UNSATISFIABLE    13.574s      0.37s     8070900       8921 
132     B97-C69    UNSATISFIABLE    14.022s      0.39s     8070900       6860 
132     C39-C68    SATISFIABLE      13.681s      0.34s     8070900       4962 
132     C39-C69    SATISFIABLE      13.751s      0.29s     8070900       3388 
132     C68-C69    SATISFIABLE      13.421s      0.26s     8070900       3812 
198     B04-B17    SATISFIABLE      55.982s      0.74s     28218492      8129 
198     B04-B23    SATISFIABLE      56.462s      0.73s     28218492      9133 
198     B17-B23    SATISFIABLE      55.846s      0.71s     28218492      6952 
198     B04-C56    UNSATISFIABLE    59.341s      1.75s     28218492      20758 
198     B04-C65    UNSATISFIABLE    56.824s      1.39s     28218492      20915 
198     B04-C91    UNSATISFIABLE    57.690s      1.85s     28218492      31561 
198     B17-C56    UNSATISFIABLE    59.129s      1.88s     28218492      32136 
198     B17-C65    UNSATISFIABLE    57.470s      1.98s     28218492      27111 
198     B17-C91    UNSATISFIABLE    57.570s      1.76s     28218492      26085 
198     B23-C56    UNSATISFIABLE    57.742s      1.83s     28218492      26578 
198     B23-C65    UNSATISFIABLE    57.137s      1.60s     28218492      26569 
198     B23-C91    UNSATISFIABLE    57.585s      1.78s     28218492      25471 
198     C56-C65    SATISFIABLE      56.593s      0.80s     28218492      6974 
198     C56-C91    SATISFIABLE      57.739s      1.35s     28218492      14336 
198     C65-C91    SATISFIABLE      57.673s      0.79s     28218492      8145 
264     B26-B51    SATISFIABLE      152.608s     1.98s     65807592      11928 
264     B26-B81    SATISFIABLE      145.708s     1.50s     65807592      7610 
